Dimension;Algorithm;Cost;Time[ms]
10;BB_LC;238;95.715
10;BB_BFS;141;224.772
10;BB_BFS;141;1.391
10;BB_DFS_REC;141;1.501
10;BB_DFS_REC;141;1.908
10;BB_LC;141;36.105
10;BB_LC;141;10.451
11;BB_BFS;120;2323.345
11;BB_BFS;120;1.189
11;BB_DFS_REC;120;1.464
11;BB_DFS_REC;120;0.795
11;BB_LC;120;50.384
11;BB_LC;120;7.357
11;BB_BFS;333;2360.862
11;BB_BFS;333;142.220
11;BB_DFS_REC;333;77.504
11;BB_DFS_REC;333;73.212
11;BB_LC;333;257885.059
11;BB_LC;333;115651.050
11;BB_BFS;220;2040.955
11;BB_BFS;220;7.434
11;BB_DFS_REC;220;8.671
11;BB_DFS_REC;220;6.493
11;BB_LC;220;851.413
11;BB_LC;220;298.295
11;BB_BFS;217;2085.262
11;BB_BFS;217;7.043
11;BB_DFS_REC;217;6.199
11;BB_DFS_REC;217;5.524
11;BB_LC;217;2609.950
11;BB_LC;217;354.568
11;BB_BFS;130;2044.796
11;BB_BFS;130;0.631
11;BB_DFS_REC;130;2.163
11;BB_DFS_REC;130;0.484
11;BB_LC;130;5.570
11;BB_LC;130;2.250
12;BB_BFS;171;30648.795
12;BB_BFS;171;8.088
12;BB_DFS_REC;171;11.318
12;BB_DFS_REC;171;6.961
12;BB_LC;171;795.828
12;BB_LC;171;307.571
12;BB_BFS;235;34155.586
12;BB_BFS;235;179.904
12;BB_DFS_REC;235;85.244
12;BB_DFS_REC;235;76.963
12;BB_LC;235;138761.747
12;BB_LC;235;99351.699
12;BB_BFS;183;30513.859
12;BB_BFS;183;134.481
12;BB_DFS_REC;183;34.022
12;BB_DFS_REC;183;33.275
12;BB_LC;183;40329.188
12;BB_LC;183;31539.298
12;BB_BFS;216;30907.698
12;BB_BFS;216;45.873
12;BB_DFS_REC;216;31.139
12;BB_DFS_REC;216;26.326
12;BB_LC;216;39109.959
12;BB_LC;216;16363.917
12;BB_BFS;215;31368.983
12;BB_BFS;215;555.563
12;BB_DFS_REC;215;68.943
12;BB_DFS_REC;215;67.867
12;BB_LC;215;346579.167
12;BB_LC;215;292190.358
9;BB_BFS;155;21.884
9;BB_BFS;155;0.803
9;BB_DFS_REC;155;0.599
9;BB_DFS_REC;155;0.362
9;BB_LC;155;1.233
9;BB_LC;155;1.053
9;BB_BFS;172;20.191
9;BB_BFS;172;0.249
9;BB_DFS_REC;172;0.498
9;BB_DFS_REC;172;0.216
9;BB_LC;172;1.017
9;BB_LC;172;0.654
9;BB_BFS;210;20.202
9;BB_BFS;210;2.767
9;BB_DFS_REC;210;1.928
9;BB_DFS_REC;210;1.420
9;BB_LC;210;28.118
9;BB_LC;210;26.413
9;BB_BFS;171;22.103
9;BB_BFS;171;0.836
9;BB_DFS_REC;171;0.402
9;BB_DFS_REC;171;0.358
9;BB_LC;171;2.860
9;BB_LC;171;2.668
10;BB_BFS;119;207.314
10;BB_BFS;119;1.301
10;BB_DFS_REC;119;1.424
10;BB_DFS_REC;119;0.435
10;BB_LC;119;1.405
10;BB_LC;119;1.329
10;BB_BFS;134;203.674
10;BB_BFS;134;0.360
10;BB_DFS_REC;134;0.725
10;BB_DFS_REC;134;0.310
10;BB_LC;134;4.596
10;BB_LC;134;1.115
10;BB_BFS;229;203.281
10;BB_BFS;229;6.066
10;BB_DFS_REC;229;4.890
10;BB_DFS_REC;229;3.291
10;BB_LC;229;75.389
10;BB_LC;229;72.976
10;BB_BFS;153;207.915
10;BB_BFS;153;1.337
10;BB_DFS_REC;153;1.225
10;BB_DFS_REC;153;0.957
10;BB_LC;153;23.029
10;BB_LC;153;8.287
10;BB_BFS;121;199.494
10;BB_BFS;121;0.523
10;BB_DFS_REC;121;0.826
10;BB_DFS_REC;121;0.366
10;BB_LC;121;3.965
10;BB_LC;121;1.497
11;BB_BFS;157;2076.930
11;BB_BFS;157;2.676
11;BB_DFS_REC;157;5.521
11;BB_DFS_REC;157;2.095
11;BB_LC;157;283.536
11;BB_LC;157;36.578
11;BB_BFS;107;2101.936
11;BB_BFS;107;4.618
11;BB_DFS_REC;107;3.684
11;BB_DFS_REC;107;0.977
11;BB_LC;107;5.783
11;BB_LC;107;4.591
11;BB_BFS;142;2076.579
11;BB_BFS;142;2.596
11;BB_DFS_REC;142;5.545
11;BB_DFS_REC;142;1.963
11;BB_LC;142;62.871
11;BB_LC;142;19.273
11;BB_BFS;133;2094.836
11;BB_BFS;133;1.662
11;BB_DFS_REC;133;1.399
11;BB_DFS_REC;133;1.219
11;BB_LC;133;8.277
11;BB_LC;133;5.706
11;BB_BFS;127;2104.762
11;BB_BFS;127;2.728
11;BB_DFS_REC;127;4.161
11;BB_DFS_REC;127;1.943
11;BB_LC;127;27.592
11;BB_LC;127;21.158
12;BB_BFS;88;31656.939
12;BB_BFS;88;1.984
12;BB_DFS_REC;88;2.344
12;BB_DFS_REC;88;1.067
